position_id,direction,entry_time,entry_price,entry_lots,exit_time,exit_price,pnl
17,LONG,2026-04-14 10:41:00+00:00,4779.70470824,0.020741323241880546,2026-04-14 10:55:00+00:00,4775.2053903999995,-9.33218056874187
18,SHORT,2026-04-14 10:55:00+00:00,4775.2053903999995,0.020739827960980027,2026-04-14 11:07:00+00:00,4782.08476536,-14.267705314949168
19,LONG,2026-04-14 11:07:00+00:00,4782.08476536,0.02068214082759756,2026-04-14 11:22:00+00:00,4778.0053232,-8.437159725116553
20,SHORT,2026-04-14 11:22:00+00:00,4778.0053232,0.020680632083323013,2026-04-14 11:27:00+00:00,4784.1448148,-12.696856695825065
21,LONG,2026-04-14 11:27:00+00:00,4784.1448148,0.0206294998923384,2026-04-14 11:44:00+00:00,4783.74518544,-0.8244153839101247
22,SHORT,2026-04-14 11:44:00+00:00,4783.74518544,0.020627835913081344,2026-04-14 12:01:00+00:00,4787.70490024,-8.1680347157005
23,LONG,2026-04-14 12:01:00+00:00,4787.70490024,0.02059573591738396,2026-04-14 12:07:00+00:00,4782.0052272,-11.738896074726586
24,SHORT,2026-04-14 12:07:00+00:00,4782.0052272,0.020594131172801337,2026-04-14 12:13:00+00:00,4785.0248359199995,-6.218621807019969
25,LONG,2026-04-14 12:13:00+00:00,4785.0248359199995,0.02056994544211835,2026-04-14 12:29:00+00:00,4781.13524808,-8.000860966112443
26,SHORT,2026-04-14 12:29:00+00:00,4781.13524808,0.020568437413867224,2026-04-14 12:47:00+00:00,4777.754661440001,6.953338472697327
